name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Level Zero: Extraction,13-08-2024,45552,20.39,742914.0,16.09604183194644,66,AA,tinyBuild,Doghowl Games,1456940
Oblivion Override,24-01-2024,61267,18.39,725958.0,13.942909524853192,92,Indie,Paleo,Humble Mill,1952370
Tales & Tactics,15-08-2024,53902,18.39,724772.0,19.324987990798324,82,Indie,"Yogscast Games,Gamersky Games",Table 9 Studio,1652250
Spiritfall,28-02-2024,45670,20.39,723249.0,13.377384058933654,93,Indie,Gentle Giant,Gentle Giant,1835240
Starcom: Unknown Space,02-09-2024,38592,25.39.00,720375.0,18.31690218752013,91,Indie,"Wx3 Labs, LLC","Wx3 Labs, LLC",1750770
Plane Mechanic Simulator,14-02-2024,110431,12.39,719997.0,4.490614087649444,60,Indie,Movie Games S.A.,"Cobble Games,Disaster Studio",803980
OUTBRK,28-06-2024,22704,35.39.00,714971.0,13.129795146256964,79,Indie,Sublime,Sublime,1107320
Pro Cycling Manager 2024,06-06-2024,19951,40.39.00,709826.0,40.09035924723011,65,AA,Nacon,Cyanide Studio,2494350
Ale & Tale Tavern,05-09-2024,58289,15.39,707686.0,3.760395364186901,86,Indie,"GrabTheGames,UpgradePoint",Scienart Games,2683150
Ultimate General: American Revolution,06-06-2024,16607,50.39.00,705648.0,25.63686490370842,76,Indie,Game-Labs,Game-Labs,1901910
Until Then,25-06-2024,42561,20.39,704108.0,10.328552351899267,99,Indie,Maximum Entertainment,Polychroma Games,1574820
Robin Hood - Sherwood Builders,29-02-2024,29781,30.39.00,702787.0,14.996376394279752,72,AA,PlayWay S.A.,MeanAstronauts,1159420
Home Safety Hotline,16-01-2024,51830,15.39,700241.0,2.6434286805013034,92,Indie,Night Signal Entertainment,Night Signal Entertainment,2357910
Gatekeeper,13-05-2024,60295,15.39,691110.0,7.129803716146882,86,Indie,HypeTrain Digital,Gravity Lagoon,2106670
恋爱单选题,18-07-2024,74201,11.39,688783.0,6.164275466198359,85,Indie,"无忧传媒,指间宇宙",无忧传媒,2865490
Lotus Lantern: Rescue Mother,11-04-2024,84001,10.39,684821.0,6.675683909404666,80,Indie,Plaisir Games,Unstable Games,2319030
Monster Hunter Stories,13-06-2024,25340,30.39.00,683951.0,22.701533084636345,88,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2356560
UNDERDOGS,25-01-2024,27593,30.39.00,683121.0,3.76814716744285,98,Indie,One Hamsa,One Hamsa,2441700
Umamusume: Pretty Derby – Party Dash,29-08-2024,16684,45.39.00,675551.0,5.166505747062647,66,AA,"Cygames, Inc.","Cygames, Inc.,Arc System Works",2313020
War Hospital,11-01-2024,27672,30.39.00,673600.0,12.325651287457022,60,AA,Nacon,Brave Lamb Studio S.A.,1553000
Slice & Dice,20-03-2024,77805,09.39,673586.0,20.542735392217416,97,Indie,Tann,Tann,1775490
Tavern Manager Simulator 🍻,13-08-2024,62204,13.39,673225.0,5.9371905550515685,84,Indie,One More Time,One More Time,2756770
Classified: France '44,05-03-2024,23879,50.39.00,670774.0,17.692649262011187,82,AA,Team17,Absolutely Games,2085370
Car Manufacture,01-08-2024,40273,20.39,668524.0,10.74006526210832,80,AA,PlayWay S.A.,STEREO GAMES S.A.,983380
Skull and Bones,22-08-2024,30388,60.39.00,667814.0,14.60857630629658,0,AAA,Ubisoft,Ubisoft Singapore,2853730
Duck Detective: The Secret Salami,23-05-2024,79652,10.39,663730.0,1.679108723483934,96,Indie,Happy Broccoli Games,Happy Broccoli Games,2637990
MILF's Plaza,19-04-2024,54936,15.39,661717.0,5.261923537851022,69,Indie,TopHouse Publishing,Texic,2706300
Cluckmech Oasis,09-05-2024,77537,10.39,649091.0,22.85835077991378,87,Indie,Mammorize,BlackLight,2453360
Beer Factory,10-01-2024,40391,19.39,648123.0,8.18082594869134,52,Indie,"CreativeForge Games,PlayWay S.A.",AKEL,1782570
Steps of Debauchery,05-02-2024,49713,15.39,646945.0,6.193347100644998,0,Indie,FooxiedGames,FooxiedGames,2649970
Yakuza Rogue: Yokohama massage parlor chapter,28-05-2024,58817,13.39,638497.0,7.231949832167666,83,Indie,WAKUWAKU,WAKUWAKU,2857880
Dale & Dawson Stationery Supplies,30-08-2024,95537,08.39,634206.0,4.186376780152751,97,Indie,Striped Panda Studios,Striped Panda Studios,2920570
Lorelei and the Laser Eyes,16-05-2024,28142,25.39.00,632941.0,11.174563857548948,96,AA,Annapurna Interactive,Simogo,2008920
Minami Lane,28-02-2024,147247,05.39,632369.0,2.804406343676304,0,Indie,"Doot,Wholesome Games Presents","Doot,Blibloop",2678990
Wild West Dynasty,22-08-2024,32024,27.39.00,625495.0,8.080317945857818,33,Indie,Toplitz Productions,Moon Punch Studio,1329880
POOLS,26-04-2024,75464,10.19,623473.0,2.8443771540274825,95,Indie,"Tensori,UNIKAT Label",Tensori,2663530
Lil' Guardsman,23-01-2024,35849,20.39,611012.0,6.60034270025886,95,Indie,"Versus Evil,tinyBuild",Hilltop Studios,1924360
Kalpa of Sword,31-01-2024,207970,0.0,606780.0,28.111487732646168,0,Indie,Orienjoy,孤帆工作室,2739600
Dawn of Defiance,15-08-2024,43439,20.39,605601.0,12.638898749100711,80,Indie,Traega Entertainment,Traega Entertainment,2059530
Murky Divers,19-06-2024,133629,06.39,605472.0,5.7234479424214015,88,Indie,Oro Interactive,Embers,2963880
Platform 8,31-05-2024,167800,04.39,602569.0,0.9864579579325782,86,Indie,KOTAKE CREATE,KOTAKE CREATE,2903560
