name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
WWE 2K24,07-03-2024,165301,100.39.00,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690
EARTH DEFENSE FORCE 6,25-07-2024,159806,60.39.00,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060
Sins of a Solar Empire II,15-08-2024,214192,50.39.00,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940
Legend of Mortal,14-06-2024,440998,20.39,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910
Shin Megami Tensei V: Vengeance,13-06-2024,141306,60.39.00,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830
Soulmask,30-05-2024,304685,30.39.00,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460
The Universim,22-01-2024,328945,30.39.00,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720
Bellwright,23-04-2024,280955,30.39.00,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450
Night of the Dead,31-05-2024,394364,30.39.00,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380
Empires of the Undergrowth,07-06-2024,408292,30.39.00,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,13-06-2024,212325,50.39.00,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430
ANIMAL WELL,09-05-2024,305891,25.39.00,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230
Age of Mythology: Retold,04-09-2024,236419,30.39.00,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680
STAR WARS™: Battlefront Classic Collection,13-03-2024,185054,35.01.00,6048340.0,4.360934964168404,0,Indie,Aspyr,Aspyr,2446550
Another Crab's Treasure,25-04-2024,264723,30.39.00,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840
Homeworld 3,13-05-2024,102487,60.39.00,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080
Winter Memories,05-01-2024,424281,20.39,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450
Nine Sols,28-05-2024,214407,30.39.00,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540
Outpost: Infinity Siege,26-03-2024,278031,25.39.00,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690
Sker Ritual,18-04-2024,267953,25.39.00,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070
shapez 2,15-08-2024,261028,25.39.00,4810868.0,16.307715687349233,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800
Senua’s Saga: Hellblade II,21-05-2024,107010,50.39.00,4747832.0,5.160077378916766,88,AAA,Xbox Game Studios,Ninja Theory,2461850
Pixel Gun 3D: PC Edition,02-04-2024,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890
Backpack Battles,08-03-2024,499559,13.39,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700
Crime Scene Cleaner,14-08-2024,285596,20.39,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200
Kebab Chefs! - Restaurant Simulator,19-01-2024,312189,18.39,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270
Predecessor,20-08-2024,433605,0.0,20262481.43.00,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200
Palia,25-03-2024,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930
"Little Kitty, Big City",09-05-2024,206880,25.39.00,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980
Secrets of Grindea,29-02-2024,314988,15.39,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770
Chrono Ark,02-05-2024,301197,25.39.00,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930
Nova Drift,12-08-2024,445361,18.39,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210
Kingdom Rush 5: Alliance TD,25-07-2024,245264,20.39,4042356.0,9.09008744972337,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080
Norland,18-07-2024,170621,30.39.00,3991591.0,18.46350698089453,79,AA,Hooded Horse,Long Jaunt,1857090
Eiyuden Chronicle: Hundred Heroes,23-04-2024,91925,50.39.00,3953243.0,26.18784418359856,0,AA,505 Games,Rabbit & Bear Studios,1658280
Le Mans Ultimate,20-02-2024,120703,33.39.00,3740762.0,24.51989839725174,78,Indie,Studio 397,Studio 397,2399420
The Hungry Lamb: Traveling in the Late Ming Dynasty,22-04-2024,588305,10.39,3689551.0,5.515544910785541,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370
Fabledom,13-05-2024,274354,21.39,3559827.0,9.741550826316857,90,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560
Apollo Justice: Ace Attorney Trilogy,24-01-2024,89327,50.39.00,3465018.0,40.0243065252875,93,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220
F1® Manager 2024,23-07-2024,111464,35.39.00,3428483.0,22.803547133217016,66,AA,Frontier Developments,Frontier Developments,2591280
Men of War II,15-05-2024,84565,45.39.00,3406127.0,21.05376649227358,0,Indie,Fulqrum Publishing,Best Way,1128860
Banishers: Ghosts of New Eden,12-02-2024,78137,50.39.00,3387809.0,22.31599204035413,87,AA,Focus Entertainment,DON'T NOD,1493640
Buckshot Roulette,04-04-2024,1486957,03.39,3369649.0,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570
Fields of Mistria,05-08-2024,265456,14.39,3342356.0,15.649349536238686,98,Indie,NPC Studio,NPC Studio,2142790
FOREWARNED,25-04-2024,366053,13.39,3322822.0,8.447204850866648,91,Indie,Dreambyte Games,Dreambyte Games,1562420
Midnight Ghost Hunt,21-03-2024,371470,20.39,3272209.0,11.916997192362892,78,AA,Coffee Stain Publishing,Vaulted Sky Games,915810
Tomb Raider I-III Remastered Starring Lara Croft,13-02-2024,125073,30.39.00,3262820.0,25.629116385966054,87,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970
Five Nights at Freddy's: Into the Pit,07-08-2024,181334,20.39,3262379.0,5.095655826350983,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370
EA SPORTS™ Madden NFL 25,15-08-2024,50521,70.39.00,3182368.0,16.10649107133234,50,AAA,Electronic Arts,Tiburon,2582560
Rotwood,24-04-2024,412521,11.39,3180800.0,8.798469833185573,73,AA,Klei Entertainment,Klei Entertainment,2015270
Hookah Haze,10-07-2024,17717,18.39,263733.0,4.766068924187017,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300
Future Fragments,22-02-2024,14679,20.39,263197.0,6.791463008808835,80,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920
Botany Manor,09-04-2024,12312,25.39.00,263004.0,3.329619728276769,96,Indie,Whitethorn Games,Balloon Studios,1425350
Scarlet Tower,25-03-2024,66201,05.39,262728.0,10.807864513617217,86,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720
Vellum,28-03-2024,15742,20.39,260940.0,7.258494933109757,90,Indie,"Alvios, Inc.",Alvios Games,917950
Supernatural,15-07-2024,34355,09.39,260449.0,1.582619871033138,63,Indie,Hitori De Productions,Hitori De Productions,2093010
Viking Rise: Valhalla,21-05-2024,20537,0.0,259513.0,36.62029672226122,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,2819520
LONESTAR,18-01-2024,36933,10.39,259157.0,20.516837545390125,0,Indie,Thermite Games,Math Tide,2056210
Yohane the Parhelion - NUMAZU in the MIRAGE -,21-02-2024,10048,30.39.00,258574.0,11.459016872346174,93,Indie,BeXide Inc.,BeXide Inc.,2459750
Revue Starlight El Dorado,07-08-2024,9499,30.39.00,256387.0,5.427033571710683,98,Indie,Bushiroad Inc.,Frontwing,2849960
The Brew Barons,01-03-2024,14325,22.39,256071.0,13.184460733075102,0,Indie,Lifetap Studios,Lifetap Studios,1636710
Contain,16-01-2024,12768,14.39,255512.0,2.503693650275288,60,Indie,SinginGiant,SinginGiant,2186700
Brothers: A Tale of Two Sons Remake,28-02-2024,21858,20.39,255441.0,2.3648222677036745,68,AA,505 Games,Avantgarden SRL,2153350
Voice Love on Air,27-03-2024,10136,30.39.00,254966.0,11.2397919153104,90,Indie,SOFTSTAR ENTERTAINMENT,"SOFTSTAR ENTERTAINMENT,Noisy Fish",2321120
Great Houses of Calderia,02-05-2024,14675,25.39.00,253627.0,8.063675087275312,78,Indie,Firesquid,Resistance Games,1812910
King Arthur: Legion IX,09-05-2024,15238,20.39,252953.0,12.391322087258976,71,Indie,NeocoreGames,NeocoreGames,2739830
SENTRY,25-03-2024,15063,20.39,251556.0,6.484102923591283,85,Indie,Fireblade Software,Fireblade Software,1252680
Nexus 5X,18-04-2024,19791,15.39,250950.0,20.865414536197893,95,Indie,Paradox Arc,Whatboy Games,1983990
AutoForge,27-03-2024,14728,20.39,249767.0,13.221277300296627,89,Indie,Siege Games,Siege Games,1960480
Magic Pussy: Chapter 2,13-01-2024,36601,10.39,249274.0,2.612123877243422,75,Indie,Taboo Tales 💘,Taboo Tales 💘,2512190
Tennis Manager 2024,23-05-2024,7878,40.39.00,248804.0,10.221171029632243,83,Indie,Rebound CG,Rebound CG,2870110
Lifeform Zero,22-02-2024,36772,08.39,243845.0,1.1870703784703778,83,Indie,"Mango Party,Mango Party News",Sins of Succubus,1848270
Farm Manager World,29-04-2024,14399,20.39,241254.0,20.978020915770703,0,Indie,"Sim Farm S.A.,PlayWay S.A.",Cleversan Games,2206350
Turbo Golf Racing,04-04-2024,27537,10.39,240922.0,8.278991424104499,86,Indie,Hugecalf Studios,Hugecalf Studios,1324350
Windowkill,23-02-2024,54205,05.39,239666.0,4.033346015712271,97,Indie,torcado,torcado,2726450
Bootstrap Island,22-02-2024,11797,25.39.00,237361.0,4.453969670795021,83,Indie,Maru VR Productions,Maru VR Productions,1942110
Idle Hero TD - Tower Defense,03-05-2024,13061,0.0,235863.0,189.05701139969932,79,Indie,Swell Games LLC,Swell Games LLC,2897580
Hairdresser Simulator,06-03-2024,14398,20.39,235724.0,7.94368062025551,49,Indie,Frozen Way,GameFormatic S.A.,1330560
Maniac,28-03-2024,57155,05.39,235604.0,4.290811596159339,91,Indie,Skystone Games,Transhuman Design,1482380
Nevergrind Online,11-07-2024,27973,16.39,235479.0,43.736640716411806,89,Indie,Neverworks Games,Neverworks Games,853450
Zoonomaly,06-03-2024,43112,06.39,232416.0,6.127524221454782,72,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC,2101890
Pepper Grinder,28-03-2024,19649,15.39,230628.0,3.0902037504824045,88,AA,Devolver Digital,"Ahr Ech,MP2 Games",2076580
Shashingo: Learn Japanese with Photography,27-02-2024,14012,20.39,229922.0,4.261561103643061,95,Indie,Autumn Pioneer,Autumn Pioneer,1632490
Hexguardian,02-05-2024,24896,12.39,227666.0,16.151996485734074,84,Indie,Yogscast Games,Split Second Games,2381740
Modern Pink Elf RPG,02-02-2024,24006,12.39,227642.0,3.399177167134526,88,Indie,"Remtairy,CursedAtelier",Warshop,2745710
Internet Cafe Evolution,19-04-2024,18075,15.39,225541.0,18.29526412534356,80,Indie,Tiny Flame Games,Tiny Flame Games,2600600
Primitive Society Simulator,26-02-2024,13359,20.39,224409.0,23.152544840566616,84,Indie,YSH Games,YSH BigDove,1876880
Dystopika,21-06-2024,38869,07.39,224151.0,2.4823713745397766,97,Indie,"Voids Within,UNIKAT Label",Voids Within,2379910
Transformative Summer: Life with a TS Companion,23-08-2024,16175,17.39,223483.0,1.763499267186479,90,Indie,"HENTAI Plan,OTAKU Plan",88Danuki,2891040
Bare Witness,20-07-2024,22016,13.39,223470.0,8.570352837139355,95,Indie,AlterWorlds,AlterWorlds,2387380
Blockbuster Inc.,06-06-2024,10529,25.39.00,222603.0,7.775502852784427,53,Indie,Ancient Forge,Super Sly Fox,1793090
GUARDS!,01-03-2024,19148,15.39,222412.0,3.8115169276491287,73,Indie,WYLDERZONE,"WYLDERZONE,Lowkey GameDev",2514460
HAWKED,15-02-2024,162606,0.0,221326.0,11.438980059315815,55,Indie,"MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)",MY.GAMES,1955960
TIEBREAK: Official game of the ATP and WTA,22-08-2024,6854,50.39.00,220924.0,14.886697995640557,75,AA,Nacon,Big Ant Studios,2264340
Builders of Greece,27-02-2024,14537,20.39,220170.0,9.287106790328828,0,Indie,"CreativeForge Games,PlayWay S.A.","BLUM Entertainment,Strategy Labs",1273100
Chasing Sunsets,18-08-2024,25621,15.39,219632.0,14.334402971391173,94,Indie,Stone Fox Studios,Stone Fox Studios,1783110
Capes,29-05-2024,7019,40.39.00,218599.0,18.1841439121085,0,AA,Daedalic Entertainment,Spitfire Interactive,2081080
Path of Achra,07-05-2024,26939,10.39,218518.0,28.54435664963007,99,Indie,Slouching Beast LLC,Ulfsire,2128270
Sisters: Last Day of Summer,03-06-2024,10528,25.39.00,218069.0,2.863190329208691,84,Indie,JAST,Jellyfish,2781750
Three Kingdoms: Innovatory,31-01-2024,26571,14.39,218047.0,20.124106848010214,76,Indie,Moment HK,瞬息万变工作室,2340500
ExoCross,22-07-2024,8226,40.39.00,217345.0,5.42370667094399,70,Indie,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing",773840
Angel at Dusk,12-01-2024,20643,15.39,217085.0,10.783586495954678,99,Indie,"Henteko Doujin,Sanuk Inc.",Akiragoya,1405500
Sex Formula,05-09-2024,6030,40.39.00,217025.0,1.3852123208746496,77,Indie,MIGI STUDIO,MIGI STUDIO,2889660
CaseCracker2,16-05-2024,21864,12.39,216851.0,5.844877721759396,95,Indie,NPC Entertainment,BlackRobe,2294450
Coreborn,19-06-2024,14796,14.39,216265.0,30.494220097898072,67,Indie,Blankhans,Blankhans,1926090
HEART of CROWN Online,23-04-2024,13112,20.39,215401.0,10.997180274952369,81,Indie,Japanime Digital,"illuCalab,FLIPFLOPs",1883000
Stargate: Timekeepers,23-01-2024,7991,30.39.00,214688.0,5.441417976196167,58,AA,Slitherine Ltd.,Slitherine Ltd.,1523650
Vae Victis - Khan,01-03-2024,16129,15.39,214566.0,10.44505482765064,83,Indie,Doorknob22,Doorknob22,2540230
Sucker for Love: Date to Die For,23-04-2024,19772,13.39,213201.0,3.8826264044692698,0,Indie,DreadXP,Akabaka,2240790
Tchia,21-03-2024,11684,30.39.00,212197.0,7.90778295224673,0,Indie,Kepler Interactive,Awaceb,1496590
Love n Life: Lucky Teacher,31-01-2024,38777,09.39,210967.0,4.0441084681223565,0,Indie,Reborn Entertainment,Reborn Entertainment,2445340
Tour de France 2024,06-06-2024,5833,40.39.00,208625.0,20.921704466723124,72,AA,Nacon,Cyanide Studio,2494340
Nancy Drew®: Mystery of the Seven Keys™,20-06-2024,7242,32.0,208569.0,7.070747407547764,60,Indie,HeR Interactive,HeR Interactive,1926590
Project MIKHAIL: A Muv-Luv War Story,26-04-2024,15338,20.39,208558.0,21.58182968869664,55,Indie,aNCHOR Inc.,"aNCHOR Inc.,fuzz, Inc.",1557480
The DeLuca Family - Season 1,27-02-2024,16425,16.39,207588.0,12.18923439084038,83,Indie,MemoGaming,MemoGaming,2814610
Mini Airways,30-07-2024,24705,10.39,207390.0,6.443859027040861,0,Indie,Erabit,CCC Games,2289650
JudgeSim,16-07-2024,33281,07.39,206875.0,3.020822486072547,0,Indie,DelusionArt Studio,DelusionArt Studio,2919660
江湖客栈-The Jianghu,31-08-2024,51896,0.0,205131.0,260.3405090672399,61,Indie,Path,『風林火山』工作室,1881610
The Bathhouse | 地獄銭湯 Restored Edition,09-08-2024,28170,08.39,202570.0,2.4106187515297246,92,Indie,Chilla's Art,Chilla's Art,2989950
Shipwrecked 64,01-01-2024,26225,08.39,202048.0,7.407742826442237,96,Indie,Cogware Games,"Squeaks D'Corgeh,Cogware Games",2160220
Shadow of the Depth,22-04-2024,16453,15.39,201940.0,8.217366605525815,72,Indie,ChillyRoom,ChillyRoom,2100150
Subterrain: Mines of Titan,12-03-2024,12552,20.39,200632.0,15.648462349326858,0,Indie,indie.io,Pixellore Inc,1573100
Chill Pulse,02-05-2024,51928,05.39,199035.0,31.10197244558289,95,Indie,Catos Game,Catos Game,2826180
CONVRGENCE,22-04-2024,12366,20.39,198731.0,5.466555952304595,81,Indie,Monkey-With-a-Bomb,Monkey-With-a-Bomb,2609610
A Day Out,27-06-2024,20883,10.39,198689.0,5.069955151525373,80,Indie,KevTheDev,"KevTheDev,gamesbychris",1547670
Arzette: The Jewel of Faramore,13-02-2024,12464,20.39,198058.0,4.056923806623435,97,Indie,Limited Run Games,Seedy Eye Software,1924780
Colony City 27λ,26-03-2024,21646,11.39,197843.0,4.235837414783542,90,Indie,Playmeow,Bunny Eats Tiger,2442410
Smash Girls,25-06-2024,21519,11.39,197661.0,1.62018681861316,84,Indie,"Mango Party,Mango Party News",18bitStudio,2822030
彷徨之街 The Street of Adrift,20-05-2024,34730,12.39,195942.0,9.590101408610204,76,Indie,LoveStoryProject,Caramel-Mocha Studio,1672670
Corsairs Legacy - Pirate Action RPG & Sea Battles,30-01-2024,13511,18.39,195795.0,2.5949174590740385,70,Indie,Mauris Games OU,Mauris,1594880
4D Golf,22-03-2024,10052,20.39,195440.0,6.548743445908296,99,Indie,CodeParade,CodeParade,2147950
Diluvian Winds,25-04-2024,13936,18.39,194382.0,5.081085619181385,77,Indie,"Goblinz Publishing,IndieArk",Alambik Studio,1561040
Rocksmith+,06-06-2024,35660,0.0,193594.0,3.87375145779168,11,AAA,Ubisoft,"Ubisoft San Francisco,Ubisoft Osaka,Ubisoft Bucharest,Ubisoft Pune",2834910
How to lose one's virginity,25-04-2024,19576,12.39,193532.0,4.968943677656601,86,Indie,VisualPointG,VisualPointG,2578880
Cozy Caravan,16-05-2024,11142,20.39,191108.0,6.822617789074972,0,Indie,5 Lives Studios,5 Lives Studios,2788520
Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,27-06-2024,27719,08.39,189258.0,2.660770403074175,97,Indie,Alice Publication,No.7 Void Mine,3012420
道衍诀,08-05-2024,19716,12.39,188260.0,8.306483637567908,66,Indie,宁德动游网络科技有限公司,宁德动游网络科技有限公司,1951220
Beat Hazard 3,22-06-2024,13179,19.39,187908.0,13.222661214210484,89,Indie,Cold Beam Games,Cold Beam Games,1493520
Final Factory,09-04-2024,10896,19.39,186670.0,20.93961115219039,83,Indie,Never Games Limited,Never Games Limited,1383150
Figure Adventure,24-06-2024,31641,0.0,184743.0,12.205608791220538,0,Indie,Figure Fantasy,Figure Fantasy,2996570
Yellow Taxi Goes Vroom,09-04-2024,13798,17.39,184444.0,6.573973275788298,99,Indie,"Xelu,Those Awesome Guys",Panik Arcade,2011780
Galaxy Burger,23-08-2024,21079,12.39,183781.0,5.290148096748573,95,Indie,Galactic Workshop,Galactic Workshop,2749770
BROKE PROTOCOL: Online City RPG,26-06-2024,98931,10.39,183531.0,9.725358535580774,75,Indie,Cylinder Studios,Cylinder Studios,696370
WitchHand,07-02-2024,18046,12.39,182797.0,11.343093374261317,0,Indie,HopFrog,Jon Nielsen,2420880
Arctic Eggs,16-05-2024,24972,10.39,182249.0,1.8052762578319173,97,Indie,CRITICAL REFLEX,"The Water Museum,cockydoody,abmarnie,Cameron Ginex",2763670
No Creeps Were Harmed TD,27-07-2024,14452,20.39,181284.0,16.714114619980005,91,Indie,MinMax Games Ltd.,MinMax Games Ltd.,1932260
Zoria: Age of Shattering,07-03-2024,9307,25.39.00,180957.0,17.806999014427912,80,Indie,"Anshar Publishing,Surefire.Games",Tiny Trinket Games,1159090
FRONT MISSION 2: Remake,30-04-2024,6960,35.39.00,180254.0,21.095318096281108,63,Indie,Forever Entertainment S. A.,Storm Trident S.A.,2865440
Having a HARD Time,12-02-2024,16580,13.39,180236.0,5.873573137485592,96,Indie,Quadruple-Q,Quadruple-Q,2420460
"Island, Sex & Survival",25-06-2024,16201,13.39,179792.0,2.754190616196808,77,Indie,Alice Publication,無人島觀光促進會,2911250
Sheryl ~The Alchemist of the Island Ruins~,19-04-2024,13210,18.39,179743.0,5.946683096741738,85,Indie,Kagura Games,Pakkuri Paradise,2787300
"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!",31-07-2024,4993,40.39.00,179703.0,4.523793592123041,92,Indie,Frontwing USA,Milkfactory,2854170
Computer Repair Shop,12-01-2024,22799,10.39,179631.0,4.467348573895426,0,Indie,Cheesecake Dev,Cheesecake Dev,2479290
KeepUp Survival,05-03-2024,23894,09.39,179352.0,8.238716732494117,68,Indie,Witte Studio,Witte Studio,1524630
Folie Fatale,30-05-2024,38408,06.39,178996.0,3.636514388975916,90,Indie,346lab Localization,Kanmidoko (神海処),2734450
Baten Kaitos I & II HD Remaster,17-06-2024,4662,50.39.00,178950.0,13.164837272057364,84,AAA,Bandai Namco Entertainment,"logicalbeat Co., Ltd.",2146170
Farlands,24-07-2024,14440,15.39,177736.0,4.881503287831916,95,Indie,JanduSoft,"JanduSoft,Eric Rodríguez",2252680
B.E.S.T,18-01-2024,18098,12.39,176781.0,3.8147019706556926,75,Indie,Dolydev,Dolyla,2404390
Kukoro: Stream chat games,02-02-2024,61373,06.39,175228.0,17.006639023780735,98,Indie,HeyNau,HeyNau,1166990
Backrooms Rec.,06-03-2024,20159,10.39,175194.0,1.9294587589570893,72,Indie,Liminal Logic,Liminal Logic,2275020
Old Market Simulator,21-05-2024,25461,10.39,174298.0,8.685694388370663,93,Indie,"Alcedo Games,Gamersky Games",Alcedo Games,2878420
Fleshlight Squad - Fleshlightize -,12-01-2024,14773,15.39,174069.0,2.14888170402484,83,Indie,072 Project,ちゃおいずむ,2588590
Fork Road,11-06-2024,48467,04.39,173665.0,0.7547324928427664,0,Indie,Simon Au Yeung,Simon Au Yeung,2976400
Tiny Terry's Turbo Trip,30-05-2024,12896,18.39,173502.0,3.941035344922252,97,Indie,Super Rare Originals,snekflat,2238040
Phantom Fury,23-04-2024,8386,25.39.00,173471.0,6.759825136466032,61,Indie,3D Realms,Slipgate Ironworks™,1733240
Broken Roads,10-04-2024,6136,35.39.00,173273.0,6.840685757062152,51,Indie,"Versus Evil,tinyBuild",Drop Bear Bytes,1403440
RUNGORE,16-05-2024,16112,15.39,172919.0,9.171866180343908,88,Indie,"GrabTheGames,Gamera Games,UpgradePoint","YOUR_MOM'S_HP,RavenJm",2113040
REVEIL,06-03-2024,10936,20.39,172222.0,5.162763610356412,92,AA,Daedalic Entertainment,Pixelsplit,809060
KitHack Model Club,01-08-2024,11862,20.39,171463.0,16.004801494161363,89,Indie,"Floating Origin Interactive,Curve Games",Floating Origin Interactive,2107090
A Tower Full of Cats,20-05-2024,41463,05.39,171352.0,2.658659161885786,99,Indie,Devcats,Devcats,2179170
Drug Lord Tycoon,31-07-2024,16898,12.39,171160.0,7.688269897496598,88,Indie,Duhndal,Duhndal,2450700
Into the Necrovale,26-01-2024,15345,15.39,170271.0,10.197507446551173,93,Indie,Tribal-Storm,Casey Clyde,1717090
Tomba! Special Edition,31-07-2024,9464,20.39,170266.0,5.361269289978908,86,Indie,Limited Run Games,Limited Run Games,2851150
FAIRY TAIL: DUNGEONS,26-08-2024,16430,14.39,169800.0,7.7027946379318815,93,Indie,Kodansha,ginolabo,2305500
Field of Glory: Kingdoms,04-06-2024,4836,40.39.00,169077.0,29.630237681613337,82,AA,Slitherine Ltd.,AGEOD,1985050
Arco,15-08-2024,10274,20.39,168841.0,5.098042446489322,99,Indie,Panic,"Franek,Max Cahill,Bibiki,Fáyer",2366970
Last Hope,18-04-2024,10810,20.39,167966.0,7.281782067780635,94,Indie,"Poolside games,DreamBig Games",Poolside games,2650630
Smack Studio,31-07-2024,13959,15.39,166819.0,61.89405689882235,90,Indie,ThirdPixel Interactive,ThirdPixel Interactive,1739300
The Grey Dream,09-01-2024,15783,13.39,165452.0,4.845216579075951,82,Indie,The Greys,The Greys,2497930
Quilts and Cats of Calico,05-03-2024,10536,20.39,165375.0,12.60609181612462,96,Indie,"Monster Couch,Flatout Games",Monster Couch,1993180
Hypnotic Idol,18-06-2024,10261,20.39,163926.0,3.916737738327048,79,Indie,azucat,azucat,2797310
Night Raider,26-01-2024,44974,06.39,163793.0,28.066198713115263,86,Indie,Tsukuyomi,Tsukuyomi,2719290
This is a Ghost,17-04-2024,12790,15.39,163789.0,24.23037807231731,90,Indie,Nuci,Nuci,1985420
Crypt Custodian,27-08-2024,10680,20.39,163307.0,6.014406764508275,98,Indie,"Kyle Thompson,Top Hat Studios, Inc.,H2 Interactive Co., Ltd.",Kyle Thompson,2394650
Himegashima Island,02-08-2024,14305,15.39,163296.0,6.4025414038367305,75,Indie,Kagura Games,Fushidaratei,2991400
Starstruck Vagabond,24-05-2024,8747,25.39.00,162429.0,16.54874636758956,0,Indie,"Ben 'Yahtzee' Croshaw,Second Wind",Ben 'Yahtzee' Croshaw,2448930
Clank!,24-07-2024,7748,23.39,160313.0,11.996352257405444,95,Indie,Dire Wolf,Dire Wolf,1722870
Heading Out,07-05-2024,9835,20.39,159911.0,4.301057192445973,81,Indie,Saber Interactive,Serious Sim,1640630
The Game of Sisyphus,11-04-2024,28586,07.39,158283.0,5.66407476855285,81,Indie,cream,cream,2904890
"Warhammer 40,000: Speed Freeks",06-08-2024,102865,0.0,158090.0,5.651413836213646,0,Indie,PLAION,Caged Element Inc.,2078450
除邪(CHUXIE),28-07-2024,25734,07.39,157941.0,1.6539491559621793,83,Indie,LCGaming,LCGaming,2969160
Moose Miners,10-05-2024,20363,10.39,157701.0,30.35383039123571,69,Indie,Lingon Studios,Lingon Studios,2591410
The Inquisitor,08-02-2024,4482,40.39.00,157178.0,5.87829712643099,70,AA,Kalypso Media,The Dust S.A.,1880470
SNK VS. CAPCOM SVC CHAOS,20-07-2024,8714,20.39,156773.0,4.365388443927607,0,Indie,SNK CORPORATION,Code Mystics,2442380
Vivat Slovakia,18-04-2024,6256,30.39.00,155061.0,4.087998735806734,73,Indie,Team Vivat,Team Vivat,2132690
Spy Alliance,08-08-2024,93601,02.39,153860.0,0.9404285900243136,70,Indie,ALT Lab,ALT Lab,2757350
Arena Renovation,19-01-2024,13814,20.39,153619.0,6.01014217466712,82,AA,"PlayWay S.A.,FreeMind S.A.",Nesalis Games,948880
Summer's Gone - Season 1,10-05-2024,11819,15.39,153346.0,12.394389248708071,96,Indie,OceanAVN,OceanAVN,2240150
Turlock Holmes,21-02-2024,27531,10.39,152748.0,6.043817491612786,75,Indie,Neverland Entertainment,Find the Lamp Games,2142160
Galaxy Idle Clicker,18-07-2024,14401,0.0,32009285.49.00,99.91404042132116,76,Indie,Soehnle,Soehnle,2962810
Creator of Another World,30-04-2024,10817,19.39,151439.0,28.08123885865699,89,Indie,kuetaro (くえたろう),kuetaro (くえたろう),2761610
Miss Neko: Pirates,22-03-2024,47322,04.39,151366.0,3.115070265712853,82,Indie,Toffee Cafe,Orangeee,2695270
Winter Survival,06-03-2024,8694,19.39,151064.0,8.359128282051328,0,Indie,"DRAGO entertainment,HeartBeat Games",DRAGO entertainment,1394960
